Order,Lot Frontage,Lot Area,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Yr Sold,SalePrice,LogSalePrice,Alley_Grvl,Alley_NA,Alley_Pave,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Central Air_N,Central Air_Y,Condition 1_Artery,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 2_Norm,Exterior 1st_AsbShng,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsbShng,Exterior 2nd_BrkFace,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_NA,Heating_GasA,Heating_GasW,House Style_1.5Fin,House Style_1Story,House Style_2Story,House Style_SFoyer,House Style_SLvl,Land Contour_Bnk,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_Corner,Lot Config_CulDSac,Lot Config_FR2,Lot Config_Inside,MS SubClass_20,MS SubClass_30,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_160,MS SubClass_190,MS Zoning_C (all),MS Zoning_FV,MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_NA,Mas Vnr Type_Stone,Misc Feature_NA,Misc Feature_Shed,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Roof Matl_CompShg,Roof Style_Gable,Roof Style_Hip,Sale Condition_Abnorml,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_ConLD,Sale Type_New,Sale Type_WD ,Mo Sold_1,Mo Sold_2,Mo Sold_3,Mo Sold_4,Mo Sold_5,Mo Sold_6,Mo Sold_7,Mo Sold_8,Mo Sold_9,Mo Sold_10,Mo Sold_11,Mo Sold_12,TotalFinSF,TotalSF,BsmtFinSF,PorchSF,TotalBath,BsmtBath,AvgBltRemod,PreWarYearBuilt,RecentYearBuilt,YearRemodAdd,haspool,has2ndfloor,hasfireplace,LivAreaRatio,BedRatio,GarageRatio,BathRatio,LotRatio,FireBathRatio,TotalSF x OverallQual x OverallCond,TotalSF x OverallQual x Functional,AvgBltRemod x Functional x TotalFinSF,q1,q2,TotalSF x OverallQual,TotalSF x OverallCond,TotalFinSF x Functional,Functional x OverallQual,AvgBltRemod x OverallCond,AvgBltRemod x TotalFinSF,OverallCond x AvgBltRemod,BsmtFinSF x BsmtQual,BsmtFinSF x BsmtBath,Kitchen AbvGr x KitchenQual,GarageCars x GarageYrBlt,GarageQual x GarageCond x GarageCars,FireplaceQu x Fireplaces
369,124.0,16158,3,4,2,7,5,5,2005,16.0,4,3,5,3,3,5,1274.0,1,0.0,256.0,1530.0,5,5,1530,0,0,1530,1.0,2,0,3,1,4,7,8,1,4,5,3,2.0,430.0,3,3,3,168,36,0,0,0,0,0,0,0,2009,260000,12.468440756144114,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2804.0,3060.0,1274.0,204,3.0,1.0,5.0,63,7,5,0,0,1,0.18937987374675083,510.0,0.6666666666666666,1.0,130.30645161290323,0.3333333333333333,107100.0,171360.0,112160.0,240,100.0,21420.0,15300.0,22432.0,56,25.0,14020.0,25.0,6370.0,1274.0,4,10.0,18.0,4
370,85.0,11900,4,4,1,5,6,33,1977,157.0,3,3,4,3,1,5,400.0,1,0.0,722.0,1122.0,5,5,946,988,0,1934,1.0,2,1,3,1,3,6,8,1,3,33,1,2.0,567.0,3,3,2,0,176,0,0,200,0,0,0,0,2009,185000,12.128116509451258,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2334.0,3056.0,400.0,376,3.5,1.0,33.0,35,0,33,0,1,1,0.2568067226890756,644.6666666666666,0.6666666666666666,1.1666666666666667,140.0,0.2857142857142857,91680.0,122240.0,616176.0,108,660.0,15280.0,18336.0,18672.0,40,198.0,77022.0,198.0,1600.0,400.0,3,66.0,18.0,3
371,94.0,13005,3,4,1,7,7,30,1980,278.0,4,3,4,3,1,6,692.0,1,0.0,153.0,845.0,3,5,1153,1200,0,2353,1.0,2,1,4,1,5,10,8,1,3,27,2,2.0,484.0,3,3,3,288,195,0,0,0,0,0,4,0,2009,260000,12.468440756144114,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3045.0,3198.0,692.0,483,3.5,1.0,30.0,38,0,30,0,1,1,0.2459054209919262,588.25,0.5,0.875,138.35106382978722,0.2857142857142857,156702.0,179088.0,730800.0,240,600.0,22386.0,22386.0,24360.0,56,210.0,91350.0,210.0,2768.0,692.0,5,54.0,18.0,3
372,48.0,17043,3,4,1,6,5,31,1998,0.0,3,4,4,2,1,1,0.0,1,0.0,1362.0,1362.0,3,5,1586,0,0,1586,0.0,2,0,3,1,3,7,8,1,3,31,1,2.0,435.0,3,3,3,192,0,0,0,0,0,0,0,0,2009,181000,12.10625783509458,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1586.0,2948.0,0.0,192,2.0,0.0,21.5,37,0,12,0,0,1,0.1729742416241272,528.6666666666666,0.6666666666666666,0.6666666666666666,355.0625,0.5,88440.0,141504.0,272792.0,108,430.0,17688.0,14740.0,12688.0,48,107.5,34099.0,107.5,0.0,0.0,3,62.0,18.0,3
373,85.0,11900,4,4,1,7,5,33,1977,209.0,3,4,3,3,1,5,822.0,1,0.0,564.0,1386.0,3,5,1411,0,0,1411,0.0,2,0,3,1,3,6,8,1,3,33,3,2.0,544.0,3,3,3,192,0,0,0,0,0,0,0,0,2009,82500,11.320565693461432,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2233.0,2797.0,822.0,192,2.0,0.0,33.0,35,0,33,0,0,1,0.23504201680672268,470.3333333333333,0.6666666666666666,0.6666666666666666,140.0,0.5,97895.0,156632.0,589512.0,81,660.0,19579.0,13985.0,17864.0,56,165.0,73689.0,165.0,2466.0,0.0,3,66.0,18.0,3
374,0.0,16635,3,4,1,6,7,33,2000,126.0,4,3,4,3,1,5,1246.0,1,0.0,356.0,1602.0,4,5,1602,0,0,1602,0.0,2,0,3,1,4,8,8,1,3,33,3,2.0,529.0,3,3,3,240,0,0,0,0,0,0,0,0,2009,215000,12.278397958261774,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2848.0,3204.0,1246.0,240,2.5,0.5,21.5,35,0,10,0,0,1,0.19260595130748423,534.0,0.6666666666666666,0.8333333333333334,500.0,0.4,134568.0,153792.0,489856.0,192,430.0,19224.0,22428.0,22784.0,48,150.5,61232.0,150.5,4984.0,623.0,4,66.0,18.0,3
375,0.0,13250,3,4,1,7,6,32,1978,256.0,3,3,4,3,1,1,0.0,1,0.0,832.0,832.0,3,5,1154,896,0,2050,0.0,2,1,4,1,4,8,8,1,3,32,2,2.0,529.0,3,3,3,192,192,0,0,0,0,0,0,0,2009,154000,11.944714374881176,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2050.0,2882.0,0.0,384,2.5,0.0,32.0,36,0,32,0,1,1,0.21750943396226416,512.5,0.5,0.625,500.0,0.4,121044.0,161392.0,524800.0,144,640.0,20174.0,17292.0,16400.0,56,192.0,65600.0,192.0,0.0,0.0,4,64.0,18.0,3
376,80.0,10928,4,4,1,6,6,32,1986,101.0,3,3,3,3,1,2,363.0,1,0.0,1064.0,1427.0,3,5,1671,0,0,1671,0.0,2,0,3,1,3,7,8,1,3,32,2,2.0,484.0,3,3,3,252,55,0,0,0,0,0,0,0,2009,200000,12.206077645517674,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2034.0,3098.0,363.0,307,2.0,0.0,28.0,36,0,24,0,0,1,0.2834919472913616,557.0,0.6666666666666666,0.6666666666666666,136.6,0.5,111528.0,148704.0,455616.0,81,560.0,18588.0,18588.0,16272.0,48,168.0,56952.0,168.0,1089.0,0.0,3,64.0,18.0,3
377,0.0,12388,3,4,1,7,7,30,1991,229.0,3,3,4,3,1,5,602.0,1,0.0,441.0,1043.0,3,5,1539,1134,0,2673,0.0,2,1,4,1,4,9,8,1,3,30,2,2.0,441.0,3,3,3,178,84,0,0,0,0,0,0,0,2009,249000,12.425212191503038,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3275.0,3716.0,602.0,262,2.5,0.0,24.5,38,0,19,0,1,1,0.29996771068776235,668.25,0.5,0.625,500.0,0.4,182084.0,208096.0,641900.0,144,490.0,26012.0,26012.0,26200.0,56,171.5,80237.5,171.5,2408.0,0.0,4,60.0,18.0,3
378,0.0,14115,4,4,1,7,5,30,1980,225.0,3,3,4,3,3,6,1036.0,1,0.0,336.0,1372.0,3,5,1472,0,0,1472,1.0,2,0,3,1,3,6,8,2,3,30,1,2.0,588.0,3,3,3,233,48,0,0,0,0,0,0,0,2009,187500,12.141539457711714,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2508.0,2844.0,1036.0,281,3.0,1.0,30.0,38,0,30,0,0,1,0.20148777895855474,490.6666666666667,0.6666666666666666,1.0,500.0,0.6666666666666666,99540.0,159264.0,601920.0,108,600.0,19908.0,14220.0,20064.0,56,150.0,75240.0,150.0,4144.0,1036.0,3,60.0,18.0,6
379,80.0,11088,4,4,1,6,5,32,1998,144.0,3,3,3,3,1,5,832.0,1,0.0,308.0,1140.0,4,5,1707,0,0,1707,0.0,2,0,3,1,3,7,8,1,3,32,3,2.0,479.0,3,3,3,0,0,0,0,0,0,0,0,0,2009,184000,12.122696471358964,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2539.0,2847.0,832.0,0,2.0,0.0,22.0,36,0,12,0,0,1,0.25676406926406925,569.0,0.6666666666666666,0.6666666666666666,138.6,0.5,85410.0,136656.0,446864.0,81,440.0,17082.0,14235.0,20312.0,48,110.0,55858.0,110.0,2496.0,0.0,3,64.0,18.0,3
380,80.0,9600,4,4,1,8,5,29,1981,0.0,4,3,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,3,5,2524,0,0,2524,1.0,2,1,4,1,4,9,8,1,4,29,3,2.0,542.0,3,3,3,474,120,0,0,0,0,0,3,0,2009,278000,12.535379989788607,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3628.0,5048.0,1104.0,594,3.5,1.0,29.0,39,0,29,0,0,1,0.5258333333333334,631.0,0.5,0.875,120.0,0.2857142857142857,201920.0,323072.0,841696.0,192,580.0,40384.0,25240.0,29024.0,64,145.0,105212.0,145.0,4416.0,1104.0,4,58.0,18.0,4
381,82.0,11880,3,4,1,7,5,32,1978,206.0,3,3,4,3,1,5,704.0,1,0.0,567.0,1271.0,3,5,1601,0,0,1601,0.0,2,0,3,1,3,7,8,1,3,32,2,2.0,478.0,3,3,3,0,0,0,0,0,0,0,0,0,2009,157000,11.964007453736912,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2305.0,2872.0,704.0,0,2.0,0.0,32.0,36,0,32,0,0,1,0.24175084175084174,533.6666666666666,0.6666666666666666,0.6666666666666666,144.8780487804878,0.5,100520.0,160832.0,590080.0,108,640.0,20104.0,14360.0,18440.0,56,160.0,73760.0,160.0,2816.0,0.0,3,64.0,18.0,3
382,80.0,10400,4,4,1,7,5,34,1976,189.0,3,3,4,3,1,1,0.0,1,0.0,1090.0,1090.0,3,5,1370,0,0,1370,0.0,2,0,3,1,3,6,8,1,3,34,2,2.0,479.0,3,3,3,0,0,0,0,0,0,0,3,0,2009,152000,11.931642378754141,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1370.0,2460.0,0.0,0,2.0,0.0,34.0,34,0,34,0,0,1,0.23653846153846153,456.6666666666667,0.6666666666666666,0.6666666666666666,130.0,0.5,86100.0,137760.0,372640.0,108,680.0,17220.0,12300.0,10960.0,56,170.0,46580.0,170.0,0.0,0.0,3,68.0,18.0,3
384,70.0,7000,4,4,1,7,5,7,2003,0.0,4,3,4,3,2,6,622.0,1,0.0,304.0,926.0,5,5,1016,868,0,1884,1.0,2,1,3,1,5,7,8,1,5,7,2,2.0,581.0,3,3,3,0,35,0,0,0,0,0,0,0,2009,240900,12.392141339694389,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2506.0,2810.0,622.0,35,3.5,1.0,7.0,61,5,7,0,1,1,0.4014285714285714,628.0,0.6666666666666666,1.1666666666666667,100.0,0.2857142857142857,98350.0,157360.0,140336.0,240,140.0,19670.0,14050.0,20048.0,56,35.0,17542.0,35.0,2488.0,622.0,5,14.0,18.0,5
385,75.0,8004,3,4,1,8,5,1,2009,110.0,4,3,4,3,1,6,544.0,1,0.0,288.0,832.0,5,5,832,1103,0,1935,1.0,2,1,3,1,3,8,8,0,0,1,3,2.0,552.0,3,3,3,0,150,0,0,0,0,0,0,0,2009,263435,12.481565733211923,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2479.0,2767.0,544.0,150,3.5,1.0,1.0,67,11,1,0,1,0,0.34570214892553724,645.0,0.6666666666666666,1.1666666666666667,106.72,0.0,110680.0,177088.0,19832.0,144,20.0,22136.0,13835.0,19832.0,64,5.0,2479.0,5.0,2176.0,544.0,3,2.0,18.0,0
386,0.0,7500,4,4,1,8,5,10,2001,0.0,4,3,4,3,1,1,0.0,1,0.0,1058.0,1058.0,5,5,1058,816,0,1874,0.0,2,1,3,1,4,7,8,1,3,10,3,2.0,588.0,3,3,3,0,134,0,0,0,0,0,0,0,2009,220000,12.301387370778713,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1874.0,2932.0,0.0,134,2.5,0.0,9.5,58,2,9,0,1,1,0.39093333333333335,624.6666666666666,0.6666666666666666,0.8333333333333334,500.0,0.4,117280.0,187648.0,142424.0,192,190.0,23456.0,14660.0,14992.0,64,47.5,17803.0,47.5,0.0,0.0,4,20.0,18.0,3
387,0.0,8470,4,4,1,8,5,8,2002,0.0,4,3,4,3,1,6,225.0,5,276.0,471.0,972.0,5,5,972,839,0,1811,0.0,2,1,3,1,4,7,8,1,4,8,2,2.0,565.0,3,3,3,225,48,0,0,0,0,0,0,0,2009,235000,12.367345048436391,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2312.0,2783.0,501.0,273,2.5,0.0,8.0,60,4,8,0,1,1,0.32857142857142857,603.6666666666666,0.6666666666666666,0.8333333333333334,500.0,0.4,111320.0,178112.0,147968.0,192,160.0,22264.0,13915.0,18496.0,64,40.0,18496.0,40.0,2004.0,0.0,4,16.0,18.0,4
388,0.0,9373,3,4,1,5,7,35,1975,161.0,3,3,4,3,3,5,1333.0,2,168.0,120.0,1621.0,3,5,1621,0,0,1621,1.0,2,0,3,1,3,7,8,2,2,35,2,2.0,478.0,3,3,3,0,0,0,0,490,0,0,0,0,2009,213000,12.269052139516223,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3122.0,3242.0,1501.0,490,3.0,1.0,35.0,33,0,35,0,0,1,0.34588712258615173,540.3333333333334,0.6666666666666666,1.0,500.0,0.6666666666666666,113470.0,129680.0,874160.0,108,700.0,16210.0,22694.0,24976.0,40,245.0,109270.0,245.0,6004.0,1501.0,3,70.0,18.0,4
389,78.0,10140,4,4,1,6,6,36,1974,196.0,3,3,3,3,1,5,888.0,1,0.0,228.0,1116.0,5,5,1116,0,0,1116,1.0,2,0,3,1,3,6,8,1,3,36,2,2.0,528.0,3,3,3,0,0,0,0,0,0,0,2,0,2009,167900,12.031129798974042,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2004.0,2232.0,888.0,0,3.0,1.0,36.0,32,0,36,0,0,1,0.22011834319526627,372.0,0.6666666666666666,1.0,130.0,0.3333333333333333,80352.0,107136.0,577152.0,81,720.0,13392.0,13392.0,16032.0,48,216.0,72144.0,216.0,2664.0,888.0,3,72.0,18.0,3
390,85.0,11050,3,4,1,7,5,35,1975,0.0,3,3,3,3,1,5,636.0,1,0.0,540.0,1176.0,2,5,1193,0,0,1193,0.0,2,0,3,1,3,5,8,1,3,35,1,2.0,506.0,3,3,3,40,0,0,0,0,0,0,0,0,2009,158000,11.970356641102999,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1829.0,2369.0,636.0,40,2.0,0.0,35.0,33,0,35,0,0,1,0.21438914027149322,397.6666666666667,0.6666666666666666,0.6666666666666666,130.0,0.5,82915.0,132664.0,512120.0,81,700.0,16583.0,11845.0,14632.0,56,175.0,64015.0,175.0,1908.0,0.0,3,70.0,18.0,3
